   101/199     31.9G   0.01129  0.002236  0.001655   0.01518        28       640    0.8665    0.8644    0.9052    0.7143   0.01085  0.001938  0.001449
   102/199     31.9G   0.01138  0.002264  0.001641   0.01529        41       640    0.8624    0.8713    0.9056     0.715   0.01086  0.001936  0.001444
   103/199     31.9G   0.01126  0.002262  0.001664   0.01519        29       640    0.8616     0.872     0.905     0.715   0.01083  0.001935  0.001451
   104/199     31.9G   0.01138  0.002219   0.00163   0.01523        78       640    0.8674    0.8657    0.9051    0.7141   0.01082  0.001936  0.001443
   105/199     31.9G   0.01112  0.002172  0.001629   0.01492        38       640    0.8636    0.8697     0.905    0.7145   0.01082  0.001942  0.001442
   106/199     31.9G   0.01118  0.002254  0.001603   0.01504        36       640    0.8651    0.8679    0.9038    0.7135   0.01082  0.001949   0.00143
   107/199     31.9G   0.01102  0.002246  0.001502   0.01477        55       640    0.8516    0.8789    0.9031    0.7146   0.01082  0.001954  0.001409
   108/199     31.9G   0.01108  0.002246  0.001544   0.01487        37       640    0.8614      0.87    0.9029    0.7142   0.01083  0.001961  0.001401
   109/199     31.9G   0.01102   0.00225  0.001516   0.01479        57       640    0.8627    0.8669    0.9027    0.7143   0.01082  0.001969  0.001389
   110/199     31.9G   0.01098  0.002208  0.001491   0.01468        40       640     0.873    0.8571    0.9031    0.7133   0.01082  0.001964  0.001371
   111/199     31.9G   0.01089  0.002208  0.001552   0.01465        27       640    0.8762    0.8538    0.9034    0.7132   0.01081  0.001963  0.001356
   112/199     31.9G   0.01094   0.00216  0.001512   0.01461        33       640    0.8682    0.8609    0.9026    0.7132   0.01083   0.00197  0.001355
